"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1477","Ввод почты и клик по 'Восстановить' ведут на страницу ввода нового пароля","tests","2025-11-11","passed","2025-11-11","TestAuthNavigation","UI: Авторизация и навигация","",""
"","993","Открытие модального окна ингредиента","tests","2025-11-11","passed","2025-11-11","TestConstructor","UI: Конструктор","",""
"","995","Переход на страницу восстановления пароля по ссылке 'Восстановить пароль'","tests","2025-11-11","passed","2025-11-11","TestAuthNavigation","UI: Авторизация и навигация","",""
"","1534","Закрытие модального окна ингредиента","tests","2025-11-11","passed","2025-11-11","TestConstructor","UI: Конструктор","",""
"","0","Счётчик 'За всё время' увеличивается после оформления заказа","tests","2025-11-11","skipped","2025-11-11","TestFeed","UI: Лента заказов","",""
"","998","Переход в конструктор из шапки","tests","2025-11-11","passed","2025-11-11","TestConstructor","UI: Конструктор","",""
"","1047","Счётчик ингредиента увеличивается при добавлении в конструктор","tests","2025-11-11","passed","2025-11-11","TestConstructor","UI: Конструктор","",""
"","1174","Переход в личный кабинет и обратно в конструктор","tests","2025-11-11","passed","2025-11-11","TestAuthNavigation","UI: Авторизация и навигация","",""
"","1","Успешный логин через кнопку 'Личный кабинет'","tests","2025-11-11","skipped","2025-11-11","TestAuthNavigation","UI: Авторизация и навигация","",""
"","0","Выход из аккаунта из личного кабинета","tests","2025-11-11","skipped","2025-11-11","TestAuthNavigation","UI: Авторизация и навигация","",""
"","0","Счётчик 'За сегодня' увеличивается после оформления заказа","tests","2025-11-11","skipped","2025-11-11","TestFeed","UI: Лента заказов","",""
"","21601","Переход на страницу ленты заказов из шапки","tests","2025-11-11","passed","2025-11-11","TestFeed","UI: Лента заказов","",""
"","21629","Открытие деталей заказа из ленты","tests","2025-11-11","passed","2025-11-11","TestFeed","UI: Лента заказов","",""
"","2218","Клик по показать/скрыть пароль делает поле активным на странице сброса пароля","tests","2025-11-11","passed","2025-11-11","TestAuthNavigation","UI: Авторизация и навигация","",""
"","0","Заказы пользователя отображаются в истории заказов профиля","tests","2025-11-11","skipped","2025-11-11","TestFeed","UI: Лента заказов","",""
"","0","Номер заказа появляется в колонке 'В работе'","tests","2025-11-11","skipped","2025-11-11","TestFeed","UI: Лента заказов","",""
